SecurityID,DhanSymbol,MasterSymbol,CompanyName,Sector,Industry
3456,TMPV,TMPV,TATA MOTORS PASSENGER VEHICLES LTD,AUTO,PASSENGER VEHICLES
3506,TITAN,TITAN,TITAN COMPANY LTD,CONSUMER DURABLES,WATCHES / JEWELLERY
3718,VOLTAS,VOLTAS,VOLTAS LTD,CONSUMER DURABLES,AIR CONDITIONING / COOLING
3721,TATACOMM,TATACOMM,TATA COMMUNICATIONS LTD,TELECOM,TELECOM SERVICES
3918,NATCOPHARM,NATCOPHARM,NATCO PHARMA LTD,PHARMA,PHARMACEUTICALS
40,AEGISLOG,AEGISLOG,AEGIS LOGISTICS LTD,OIL & GAS,LPG / OIL STORAGE & LOGISTICS
4067,MARICO,MARICO,MARICO LTD,FMCG,PERSONAL CARE
422,BHARATFORG,BHARATFORG,BHARAT FORGE LTD,AUTO,AUTO ANCILLARIES
4306,SHRIRAMFIN,SHRIRAMFIN,SHRIRAM FINANCE LTD,FINANCIAL SERVICES,NBFC
4668,BANKBARODA,BANKBARODA,BANK OF BARODA,BANKING,PSU BANK
467,HDFCLIFE,HDFCLIFE,HDFC LIFE INSURANCE COMPANY LTD,FINANCIAL SERVICES,LIFE INSURANCE
4684,SONACOMS,SONACOMS,SONA BLW PRECISION FORGINGS LTD,AUTO,AUTO ANCILLARIES
4892,SAREGAMA,SAREGAMA,SAREGAMA INDIA LTD,MEDIA & ENTERTAINMENT,MUSIC
4963,ICICIBANK,ICICIBANK,ICICI BANK LTD,BANKING,PRIVATE BANK
5258,INDUSINDBK,INDUSINDBK,INDUSIND BANK LTD,BANKING,PRIVATE BANK
5585,VIJAYA,VIJAYA,VIJAYA DIAGNOSTIC CENTRE LTD,HEALTHCARE SERVICES,DIAGNOSTICS
5900,AXISBANK,AXISBANK,AXIS BANK LTD,BANKING,PRIVATE BANK
6066,ATGL,ATGL,ADANI TOTAL GAS LTD,OIL & GAS,CITY GAS DISTRIBUTION
637,CHAMBLFERT,CHAMBLFERT,CHAMBAL FERTILISERS AND CHEMICALS LTD,CHEMICALS,FERTILISERS
6596,SONATSOFTW,SONATSOFTW,SONATA SOFTWARE LTD,IT,IT SERVICES
676,EXIDEIND,EXIDEIND,EXIDE INDUSTRIES LTD,AUTO,AUTO ANCILLARIES
694,CIPLA,CIPLA,CIPLA LTD,PHARMA,PHARMACEUTICALS
7,AARTIIND,AARTIIND,AARTI INDUSTRIES LTD,CHEMICALS,SPECIALTY CHEMICALS
7229,HCLTECH,HCLTECH,HCL TECHNOLOGIES LTD,IT,IT SERVICES
7506,WOCKPHARMA,WOCKPHARMA,WOCKHARDT LTD,PHARMA,PHARMACEUTICALS
757336,AEGISVOPAK,AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,OIL & GAS,OIL / GAS STORAGE & LOGISTICS
772,DABUR,DABUR,DABUR INDIA LTD,FMCG,PERSONAL CARE / HEALTHCARE
8075,DALBHARAT,DALBHARAT,DALMIA BHARAT LTD,CEMENT,CEMENT
881,DRREDDY,DRREDDY,DR. REDDY'S LABORATORIES LTD,PHARMA,PHARMACEUTICALS
910,EICHERMOT,EICHERMOT,EICHER MOTORS LTD,AUTO,TWO WHEELERS
9683,KPITTECH,KPITTECH,KPIT TECHNOLOGIES LTD,IT,IT SERVICES - AUTOMOTIVE ENGINEERING
