event,underlying,trading_symbol,option_type,strike,expiry,days_to_expiry,lots,qty,entry_premium,peak_premium,stop_level,exit_premium,pnl,pnl_pct,entry_time,exit_time,exit_reason,entry_delta,entry_theta,entry_gamma,entry_vega,entry_iv,logged_at
ENTRY,MCX,MCX-Jul2026-2850-CE,CE,2850.0,2026-07-28,7,1,225,68.0,68.0,51.0,,,,09:29:03,,,0.53851,-4.56544,0.00253,1.6228,38.37111756638365,2026-07-21 09:30:09
EXIT,PAYTM,PAYTM-Jul2026-1360-CE,CE,1360.0,2026-07-28,7,1,725,32.55,33.75,24.41,32.55,0.0,0.0,09:28:54,09:30:24,STOPLOSS,0.4976,-2.45516,0.00467,0.77323,44.0988136774402,2026-07-21 09:30:24
EXIT,BOSCHLTD,BOSCHLTD-Jul2026-41000-CE,CE,41000.0,2026-07-28,7,1,25,677.75,695.85,508.31,678.25,12.5,0.1,09:28:28,09:30:54,STOPLOSS,0.5438,-46.24946,0.00026,23.30487,25.880840236365348,2026-07-21 09:30:54
EXIT,MCX,MCX-Jul2026-2850-CE,CE,2850.0,2026-07-28,7,1,225,68.0,69.45,51.0,67.6,-90.0,-0.6,09:29:03,09:31:06,SYSTEM_EXIT,0.53851,-4.56544,0.00253,1.6228,38.37111756638365,2026-07-21 09:31:06
ENTRY,DMART,DMART-Jul2026-4000-CE,CE,4000.0,2026-07-28,7,1,150,58.75,58.75,44.06,,,,09:30:29,,,0.5006,-4.54474,0.00265,2.27798,26.35289285280495,2026-07-21 09:31:59
EXIT,DMART,DMART-Jul2026-4000-CE,CE,4000.0,2026-07-28,7,1,150,58.75,60.1,44.06,59.15,60.0,0.7,09:30:29,09:33:20,SYSTEM_EXIT,0.5006,-4.54474,0.00265,2.27798,26.35289285280495,2026-07-21 09:33:20
ENTRY,ITC,ITC-Jul2026-282.5-CE,CE,282.5,2026-07-28,7,1,1725,3.55,3.55,2.66,,,,09:31:48,,,0.57901,-0.23036,0.05487,0.15855,17.58074315531534,2026-07-21 09:34:02
EXIT,ITC,ITC-Jul2026-282.5-CE,CE,282.5,2026-07-28,7,1,1725,3.55,3.85,2.66,3.8,431.25,7.0,09:31:48,09:44:00,MANUAL_EXIT,0.57901,-0.23036,0.05487,0.15855,17.58074315531534,2026-07-21 09:44:00
ENTRY,DELHIVERY,DELHIVERY-Jul2026-485-CE,CE,485.0,2026-07-28,7,1,2075,10.8,10.8,8.1,,,,09:48:37,,,0.5236,-0.76081,0.0153,0.27616,37.53714609843795,2026-07-21 09:48:55
ENTRY,INDIGO,INDIGO-Jul2026-5250-CE,CE,5250.0,2026-07-28,7,1,150,118.65,118.65,88.99,,,,09:48:42,,,0.55466,-7.64545,0.00152,2.97792,34.487923849546405,2026-07-21 09:49:00
ENTRY,DMART,DMART-Jul2026-4000-CE,CE,4000.0,2026-07-28,7,1,150,55.4,55.4,41.55,,,,09:48:40,,,0.48445,-4.49873,0.00267,2.27096,26.203713256682846,2026-07-21 09:49:03
