Symbol,SecurityID,LTP
TMCV,759782,426.05
EUROPRATIK,759797,281.8
GROWW,759806,203.92
UTLSOLAR,759876,323.1
TENNIND,759880,588.5
STYL,759934,316.1
ARSSBL,759956,552.65
CGPOWER,760,956.55
SUDEEPPHRM,760039,846.1
CLEANMAX,760183,1352.2
LGEINDIA,760213,1561.1
AEQUS,760234,232.85
CMSINFO,7603,286.75
NEPHROPLUS,760346,686.4
PARKHOSPS,760351,300
ICICIAMC,760407,3302.2
KSHINTL,760433,853.95
AMAGI,760740,560.3
OMNI,760865,531.85
FRACTAL,760961,890
SEDEMAC,761153,2867
KRISHNADEF,761192,1208.5
SHADOWFAX,761469,225.91
CMPDI,761581,246.8
SAIPARENT,761675,590
POWERICA,761680,618.45
GSPCROP,762239,391.9
ASHIKA,762548,381.6
SEIL,762889,214.89
TIMEX,762954,527.05
KISSHT,763294,279.35
DABUR,772,423.9
RAMCOSYS,7851,810.55
GVPIL,7862,903
ZYDUSLIFE,7929,1121.1
AVANTIFEED,7936,936.1
MAHLIFE,8050,366.05
KTKBANK,8054,273
DALBHARAT,8075,1706.5
AJANTPHARM,8124,3429
MANYAVAR,8167,411.8
BLUESTARCO,8311,1641.2
TVSMOTOR,8479,3492.5
NLCINDIA,8585,323.2
SHAILY,8727,2907
DRREDDY,881,1366.1
USHAMART,8840,499.4
CHOICEIN,8866,755.9
E2E,8937,402.1
HARIOMPIPE,8968,399.45
PIXTRANS,9087,1839.1
EICHERMOT,910,7111
ARVINDFASN,9111,470.95
TIPSMUSIC,9117,627.95
EIDPARRY,916,716.65
MSTCLTD,9356,708.2
CAMPUS,9362,233.8
ELGIEQUIP,937,601.75
PNCINFRA,9385,227.01
SKIPPER,9428,532.1
AXISCADES,9436,1774.9
LICI,9480,432.3
RVNL,9552,235.78
METROPOLIS,9581,543.65
POLYCAB,9590,9920
VENUSPIPES,9592,1740
DELHIVERY,9599,472.9
HIKAL,9668,221.63
SOUTHWEST,9678,216.4
KPITTECH,9683,675.7
EPL,981,226.27
AETHER,9810,1351.7
HAVELLS,9819,1157.4
NEOGEN,9917,2016.5
EVERESTIND,993,515.75
