SecurityID,Symbol,CompanyName,Sector,Industry,BasicIndustry,MarketCap,PreviousClose,FNO
17945,COHANCE,Cohance Lifesciences,PHARMA,CDMO / SPECIALTY PHARMA INGREDIENTS,,,,
17963,NESTLEIND,Nestle,FMCG,PACKAGED FOODS,,,,
17971,SBICARD,SBI Cards,FINANCIAL SERVICES,NBFC - CREDIT CARDS,,,,
18011,WHIRLPOOL,Whirlpool,CONSUMER DURABLES,HOME APPLIANCES,,,,
18039,ADVENZYMES,Advanced Enzyme Tech,,,,,,
1808,KAJARIACER,Kajaria Ceramics,CONSUMER DURABLES,CERAMICS / TILES,,,,
18096,JUBLFOOD,Jubilant FoodWorks,,,,,,
18118,THANGAMAYL,Thangamayil Jewellery,,,,,,
1814,KPIL,Kalpataru Projects International,,,,,,
18143,JIOFIN,Jio Financial Services,FINANCIAL SERVICES,NBFC,,,,
18252,SPAL,SP Apparels,,,,,,
18268,AEROFLEX,Aeroflex Industries,,,,,,
18359,SANDUMA,Sandur Manganese & Iron Ores,,,,,,
18365,PERSISTENT,Persistent Systems,IT,IT SERVICES,,,,
1838,KARURVYSYA,Karur Vysya Bank,,,,,,
18391,RBLBANK,RBL Bank,BANKING,PRIVATE BANK,,,,
18543,DIACABS,Diamond Power Infrastructure,,,,,,
18553,JLHL,Jupiter Life Line Hospital,,,,,,
18566,RRKABEL,RR Kabel,,,,,,
18581,KIRLOSBROS,Kirloskar Brothers,,,,,,
18593,EMSLIMITED,EMS,,,,,,
18608,ZAGGLE,Zaggle Prepaid Ocean Services,,,,,,
18652,ICICIPRULI,ICICI Prudential Life Insurance,FINANCIAL SERVICES,LIFE INSURANCE,,,,
18679,HPL,HPL Electric & Power,,,,,,
18721,NUVAMA,Nuvama Wealth Management,,,,,,
18743,SIGNATURE,Signatureglobal,,,,,,
18889,KSL,Kalyani Steels,,,,,,
18908,PNBHOUSING,PNB Housing Finance,FINANCIAL SERVICES,HOUSING FINANCE,,,,
18921,VBL,Varun Beverages,FMCG,BEVERAGES,,,,
1901,CUMMINSIND,Cummins,,,,,,
19020,JSWINFRA,JSW Infrastructure,,,,,,
19061,MANAPPURAM,Manappuram Finance,FINANCIAL SERVICES,NBFC - GOLD LOAN,,,,
19196,TI,Tilaknagar Industries,,,,,,
1922,KOTAKBANK,Kotak Bank,BANKING,PRIVATE BANK,,,,
19234,LAURUSLABS,Laurus Labs,PHARMA,PHARMACEUTICALS / APIS,,,,
19235,IMFA,Indian Metals & Ferro Alloys,,,,,,
19265,BLISSGVS,Bliss GVS Pharma,,,,,,
193,ARVIND,Arvind,,,,,,
19531,BAJAJCON,Bajaj Consumer Care,,,,,,
19585,BSE,BSE,FINANCIAL SERVICES,CAPITAL MARKETS,,,,
19631,PRICOLLTD,Pricol,,,,,,
1964,TRENT,Trent,,,,,,
19686,BLUEJET,Blue Jet Healthcare,PHARMA,SPECIALTY PHARMA INGREDIENTS,,,,
19761,ADFFOODS,ADF Foods,,,,,,
19813,HONASA,Mamaearth,,,,,,
19913,DMART,Avenue Supermarts DMart,,,,,,
1997,LICHSGFIN,LIC Housing Finance,FINANCIAL SERVICES,HOUSING FINANCE,,,,
20152,ASKAUTOLTD,ASK Automotive,,,,,,
20188,WABAG,VA Tech Wabag,,,,,,
20224,JWL,Jupiter Wagons,,,,,,
20242,OBEROIRLTY,Oberoi Realty,REALTY,REAL ESTATE,,,,
20293,TATATECH,Tata Technologies,IT,IT SERVICES - ENGINEERING,,,,
203,ASHAPURMIN,Ashapura Minechem,,,,,,
20302,PRESTIGE,Prestige Estates Projects,REALTY,REAL ESTATE,,,,
2031,M&M,Mahindra & Mahindra,AUTO,PASSENGER VEHICLES/UV,,,,
20329,CGCL,Capri Global Capital,,,,,,
20372,FLAIR,Flair Writing Industries,,,,,,
20374,COALINDIA,Coal India,,,,,,
20425,NACLIND,NACL Industries,,,,,,
2043,RAMCOCEM,Ramco Cements,CEMENT,CEMENT,,,,
2049,CHENNPETRO,Chennai Petroleum Corporation,OIL & GAS,REFINERIES,,,,
20551,DOMS,DOMS Industries,,,,,,
20560,DOLLAR,Dollar Industries,,,,,,
20607,INOXINDIA,INOX India,,,,,,
2073,VTL,Vardhman Textiles,,,,,,
20822,SURAJEST,Suraj Estate Developers,,,,,,
20825,HUDCO,HUDCO,FINANCIAL SERVICES,NBFC - PSU HOUSING,,,,
20830,MOIL,MOIL,,,,,,
20831,MUTHOOTMF,Muthoot Microfin,,,,,,
2088,MAHSEAMLES,Maharashtra Seamless,,,,,,
20905,AZAD,Azad Engineering,,,,,,
20936,KIRLOSENG,Kirloskar Oil Engines,,,,,,
2107,STOVEKRAFT,Stove Kraft,,,,,,
21091,STARCEMENT,Star Cement,CEMENT,CEMENT,,,,
21131,TEJASNET,Tejas Networks,,,,,,
21174,CDSL,CDSL,FINANCIAL SERVICES,CAPITAL MARKETS - DEPOSITORY,,,,
21238,AUBANK,AU Small Finance Bank,BANKING,SMALL FINANCE BANK,,,,
21334,JYOTICNC,Jyoti CNC Automation,,,,,,
2142,MFSL,Max Financial Services,FINANCIAL SERVICES,LIFE INSURANCE,,,,
2144,BDL,Bharat Dynamics,,,,,,
21501,SIS,SIS,,,,,,
21508,COCHINSHIP,Cochin Shipyard,,,,,,
21614,ABCAPITAL,Aditya Birla Capital,FINANCIAL SERVICES,DIVERSIFIED NBFC,,,,
21623,APEX,Apex Frozen Foods,,,,,,
21690,DIXON,Dixon Technologies,CONSUMER DURABLES,ELECTRONICS CONTRACT MANUFACTURING,,,,
21749,CAPACITE,Capacite Infraprojects,,,,,,
21770,ICICIGI,ICICI Lombard General Insurance,FINANCIAL SERVICES,GENERAL INSURANCE,,,,
21808,SBILIFE,SBI Life Insurance,FINANCIAL SERVICES,LIFE INSURANCE,,,,
2183,TSFINV,TSF Investments,,,,,,
21951,HFCL,HFCL,TELECOM,TELECOM EQUIPMENT,,,,
22,ACC,ACC,CEMENT,CEMENT,,,,
22347,MACPOWER,Macpower CNC Machines,,,,,,
22377,MAXHEALTH,Max Healthcare Institute,HEALTHCARE SERVICES,HOSPITALS,,,,
22463,EPACK,Epack Durable,,,,,,
22566,BLSE,BLS E-Services,,,,,,
2263,BANDHANBNK,Bandhan Bank,BANKING,PRIVATE BANK,,,,
22656,SIGNPOST,Signpost India,,,,,,
22663,JSFB,Jana Small Finance Bank,,,,,,
22670,RPTECH,Rashi Peripherals,,,,,,
2303,HAL,Hindustan Aeronautics,,,,,,
23402,SRM,SRM Contractors,,,,,,
23489,BHARTIHEXA,Bharti Hexacom,TELECOM,TELECOM SERVICES,,,,
23553,AIIL,Authum Inv & Infr,,,,,,
236,ASIANPAINT,Asian Paints,,,,,,
23607,BALUFORGE,Balu Forge Industries,,,,,,
23621,JNKINDIA,JNK India,,,,,,
23650,MUTHOOTFIN,Muthoot Finance,FINANCIAL SERVICES,NBFC - GOLD LOAN,,,,
23729,AADHARHFC,Aadhar Housing Finance,,,,,,
23799,GODIGIT,Go Digit General Insurance,,,,,,
23864,AWFIS,Awfis Space Solutions,,,,,,
2388,NELCO,NELCO,,,,,,
2397,SANDHAR,Sandhar Technologies,,,,,,
24184,PIIND,PI Industries,CHEMICALS,AGROCHEMICALS,,,,
24225,RELAXO,Relaxo Footwears,,,,,,
24308,ABDL,Allied Blenders & Distillers,,,,,,
2431,RAILTEL,Railtel Corporation of India,,,,,,
24386,BANSALWIRE,Bansal Wire Industries,,,,,,
24398,EMCURE,Emcure Pharmaceuticals,PHARMA,PHARMACEUTICALS,,,,
24403,ASHIANA,Ashiana Housing,,,,,,
24445,AGIIL,AGI Infra,,,,,,
2463,MIDHANI,Mishra Dhatu Nigam,,,,,,
24715,AKUMS,Akums Drugs & Pharma,,,,,,
24742,CEIGALL,Ceigall India,,,,,,
2475,ONGC,Oil & Natural Gas Corporation,OIL & GAS,OIL EXPLORATION & PRODUCTION - PSU,,,,
24814,FIRSTCRY,Firstcry (Brainbees Solutions),,,,,,
24823,MANCREDIT,Mangal Credit & Fincorp,,,,,,
24948,LTF,L&T Finance,FINANCIAL SERVICES,NBFC,,,,
25,ADANIENT,Adani Enterprises,METAL,DIVERSIFIED / METALS-MINING,,,,
25049,PREMIERENE,Premier Energies,,,,,,
25162,EUREKAFORB,Eureka Forbes,,,,,,
25178,TDPOWERSYS,TD Power Systems,,,,,,
25312,PNGJL,PN Gadgil Jewellers,,,,,,
25328,APLLTD,Alembic Pharmaceuticals,,,,,,
25358,PGEL,PG Electroplast,CONSUMER DURABLES,ELECTRONICS CONTRACT MANUFACTURING,,,,
25392,PANAMAPET,Panama Petrochem,,,,,,
25426,NORTHARC,Northern Arc Capital,,,,,,
25574,SHAKTIPUMP,Shakti Pumps,,,,,,
25584,TRITURBINE,Triveni Turbines,,,,,,
25608,INDOTHAI,Indo Thai Securities,,,,,,
25672,DIFFNKG,Diffusion Engineers,,,,,,
25780,APLAPOLLO,APL Apollo Tubes,METAL,STEEL PIPES & TUBES,,,,
25844,HYUNDAI,Hyundai Motor India,,,,,,
25897,MINDACORP,Minda Corporation,,,,,,
25907,WAAREEENER,Waaree Energies,,,,,,
25977,AFCONS,Afcons Infrastructure,,,,,,
2649,PCBL,PCBL Chemical,CHEMICALS,CARBON BLACK,,,,
2664,PIDILITIND,Pidilite Industries,CHEMICALS,SPECIALTY CHEMICALS / ADHESIVES,,,,
2705,PRAJIND,Praj Industries,,,,,,
27061,ACMESOLAR,ACME Solar Holdings,,,,,,
27066,SWIGGY,Swiggy,,,,,,
27079,KPEL,KP Energy,,,,,,
27095,SWANCORP,Swan Corp,CHEMICALS,CHEMICALS,,,,
27144,BLACKBUCK,Black Buck,,,,,,
2717,PRECWIRE,Precision Wires India,,,,,,
27213,EIEL,Enviro Infra Engineers,,,,,,
27353,ROSSTECH,Rossell Techsys,,,,,,
275,AUROPHARMA,Aurobindo Pharma,PHARMA,PHARMACEUTICALS,,,,
277,GICRE,GIC of India,,,,,,
27839,SAILIFE,Sai Life Sciences,PHARMA,CRDMO,,,,
28046,MOBIKWIK,One Mobikwik Systems,,,,,,
2816,RALLIS,Rallis,,,,,,
2829,ANURAS,Anupam Rasayan,,,,,,
28378,IGIL,International Gemological Institute,,,,,,
